year,fluency,adequacy,relevance,faithfulness,coherence,grammaticality,naturalness,informativeness,accuracy,consistency,readability,overall_quality,simplicity,meaning_preservation,correctness,understandability,engagingness,humanlikeness,appropriateness
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1967,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
1984,0.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
1985,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
1987,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.2,0.6,0.8,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0
1988,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
1990,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.125,0.0,0.25,0.0,0.125,0.125,0.0,0.0,0.0
1993,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
1994,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.6,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.06666666666666667
1995,0.0625,0.125,0.0,0.0625,0.0,0.0,0.0,0.0625,0.375,0.1875,0.0625,0.0,0.0625,0.0,0.125,0.0,0.0,0.0,0.0625
1996,0.08,0.08,0.28,0.0,0.04,0.04,0.04,0.12,0.44,0.32,0.12,0.04,0.08,0.04,0.24,0.12,0.0,0.0,0.08
1997,0.0,0.11538461538461539,0.19230769230769232,0.0,0.23076923076923078,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.5769230769230769,0.34615384615384615,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.0,0.0,0.11538461538461539
1998,0.0,0.029411764705882353,0.38235294117647056,0.029411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.11764705882352941,0.47058823529411764,0.2647058823529412,0.08823529411764706,0.0,0.058823529411764705,0.0,0.20588235294117646,0.08823529411764706,0.0,0.0,0.029411764705882353
1999,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.5882352941176471,0.23529411764705882,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0
2000,0.03333333333333333,0.06666666666666667,0.3,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.0,0.16666666666666666,0.6666666666666666,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.1,0.1,0.0,0.0,0.0
2001,0.27586206896551724,0.10344827586206896,0.08620689655172414,0.15517241379310345,0.13793103448275862,0.08620689655172414,0.06896551724137931,0.1724137931034483,0.6206896551724138,0.1896551724137931,0.08620689655172414,0.08620689655172414,0.10344827586206896,0.017241379310344827,0.10344827586206896,0.1206896551724138,0.0,0.0,0.034482758620689655
2002,0.11363636363636363,0.06818181818181818,0.11363636363636363,0.06818181818181818,0.1590909090909091,0.09090909090909091,0.0,0.045454545454545456,0.6590909090909091,0.22727272727272727,0.1590909090909091,0.06818181818181818,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.022727272727272728
2003,0.11267605633802817,0.08450704225352113,0.22535211267605634,0.11267605633802817,0.15492957746478872,0.09859154929577464,0.04225352112676056,0.07042253521126761,0.49295774647887325,0.07042253521126761,0.08450704225352113,0.07042253521126761,0.11267605633802817,0.0,0.11267605633802817,0.014084507042253521,0.0,0.0,0.056338028169014086
2004,0.10112359550561797,0.11235955056179775,0.11235955056179775,0.0449438202247191,0.1797752808988764,0.07865168539325842,0.02247191011235955,0.1348314606741573,0.550561797752809,0.14606741573033707,0.11235955056179775,0.0449438202247191,0.056179775280898875,0.033707865168539325,0.10112359550561797,0.02247191011235955,0.0,0.0,0.02247191011235955
2005,0.22641509433962265,0.1320754716981132,0.1509433962264151,0.018867924528301886,0.09433962264150944,0.10377358490566038,0.04716981132075472,0.09433962264150944,0.5849056603773585,0.05660377358490566,0.08490566037735849,0.05660377358490566,0.08490566037735849,0.018867924528301886,0.16037735849056603,0.009433962264150943,0.0,0.0,0.04716981132075472
2006,0.1652892561983471,0.15702479338842976,0.18181818181818182,0.03305785123966942,0.0743801652892562,0.06611570247933884,0.03305785123966942,0.0743801652892562,0.5537190082644629,0.17355371900826447,0.09090909090909091,0.04132231404958678,0.06611570247933884,0.008264462809917356,0.15702479338842976,0.008264462809917356,0.0,0.0,0.03305785123966942
2007,0.24761904761904763,0.23809523809523808,0.09523809523809523,0.0380952380952381,0.047619047619047616,0.047619047619047616,0.02857142857142857,0.05714285714285714,0.4857142857142857,0.13333333333333333,0.047619047619047616,0.0761904761904762,0.06666666666666667,0.01904761904761905,0.11428571428571428,0.05714285714285714,0.0,0.02857142857142857,0.0380952380952381
2008,0.19444444444444445,0.13194444444444445,0.16666666666666666,0.034722222222222224,0.09027777777777778,0.0763888888888889,0.027777777777777776,0.041666666666666664,0.4791666666666667,0.09722222222222222,0.06944444444444445,0.0763888888888889,0.10416666666666667,0.013888888888888888,0.0763888888888889,0.006944444444444444,0.006944444444444444,0.006944444444444444,0.05555555555555555
2009,0.20540540540540542,0.1837837837837838,0.15675675675675677,0.021621621621621623,0.0972972972972973,0.08648648648648649,0.021621621621621623,0.05405405405405406,0.4810810810810811,0.11351351351351352,0.07027027027027027,0.11351351351351352,0.10810810810810811,0.02702702702702703,0.0972972972972973,0.021621621621621623,0.005405405405405406,0.016216216216216217,0.02702702702702703
2010,0.16600790513833993,0.12648221343873517,0.15019762845849802,0.03557312252964427,0.11462450592885376,0.09486166007905138,0.023715415019762844,0.07905138339920949,0.43873517786561267,0.16205533596837945,0.10276679841897234,0.05138339920948617,0.06719367588932806,0.007905138339920948,0.07509881422924901,0.023715415019762844,0.003952569169960474,0.015810276679841896,0.039525691699604744
2011,0.18614718614718614,0.1471861471861472,0.15151515151515152,0.004329004329004329,0.11255411255411256,0.14285714285714285,0.017316017316017316,0.05627705627705628,0.47186147186147187,0.16883116883116883,0.09523809523809523,0.047619047619047616,0.06060606060606061,0.03896103896103896,0.11255411255411256,0.03463203463203463,0.004329004329004329,0.008658008658008658,0.021645021645021644
2012,0.18456375838926176,0.12751677852348994,0.14093959731543623,0.020134228187919462,0.12751677852348994,0.13087248322147652,0.020134228187919462,0.04697986577181208,0.41946308724832215,0.15436241610738255,0.09060402684563758,0.09395973154362416,0.087248322147651,0.02348993288590604,0.12080536912751678,0.03691275167785235,0.0,0.010067114093959731,0.03355704697986577
2013,0.19937694704049844,0.14330218068535824,0.1557632398753894,0.040498442367601244,0.07165109034267912,0.102803738317757,0.01557632398753894,0.037383177570093455,0.43302180685358255,0.06853582554517133,0.1308411214953271,0.07476635514018691,0.07476635514018691,0.03426791277258567,0.102803738317757,0.04361370716510903,0.003115264797507788,0.0,0.03426791277258567
2014,0.19384615384615383,0.12615384615384614,0.13230769230769232,0.021538461538461538,0.08923076923076922,0.11692307692307692,0.027692307692307693,0.05846153846153846,0.47692307692307695,0.12615384615384614,0.11076923076923077,0.06461538461538462,0.08923076923076922,0.024615384615384615,0.11384615384615385,0.024615384615384615,0.0,0.003076923076923077,0.036923076923076927
2015,0.1781609195402299,0.14367816091954022,0.14367816091954022,0.017241379310344827,0.10057471264367816,0.09482758620689655,0.028735632183908046,0.05172413793103448,0.46264367816091956,0.14080459770114942,0.09195402298850575,0.07183908045977011,0.08908045977011494,0.02586206896551724,0.09770114942528736,0.040229885057471264,0.005747126436781609,0.0,0.031609195402298854
2016,0.17073170731707318,0.12416851441241686,0.15964523281596452,0.028824833702882482,0.10643015521064302,0.082039911308204,0.024390243902439025,0.0598669623059867,0.4501108647450111,0.1130820399113082,0.08425720620842572,0.07538802660753881,0.0975609756097561,0.022172949002217297,0.09977827050997783,0.031042128603104215,0.008869179600886918,0.004434589800443459,0.022172949002217297
2017,0.18075801749271136,0.12536443148688048,0.14285714285714285,0.04081632653061224,0.13411078717201166,0.09912536443148688,0.05830903790087463,0.043731778425655975,0.4577259475218659,0.16034985422740525,0.08163265306122448,0.0728862973760933,0.11661807580174927,0.03206997084548105,0.10495626822157435,0.02040816326530612,0.014577259475218658,0.011661807580174927,0.029154518950437316
2018,0.2581818181818182,0.11454545454545455,0.20545454545454545,0.03636363636363636,0.16727272727272727,0.15454545454545454,0.05454545454545454,0.0890909090909091,0.47454545454545455,0.13090909090909092,0.07636363636363637,0.07818181818181819,0.14727272727272728,0.038181818181818185,0.15636363636363637,0.014545454545454545,0.01090909090909091,0.005454545454545455,0.03090909090909091
2019,0.1875,0.10892857142857143,0.1732142857142857,0.0375,0.16428571428571428,0.13035714285714287,0.055357142857142855,0.08035714285714286,0.48214285714285715,0.18928571428571428,0.10535714285714286,0.07142857142857142,0.125,0.026785714285714284,0.11964285714285715,0.025,0.010714285714285714,0.005357142857142857,0.04107142857142857
2020,0.25146886016451236,0.099882491186839,0.23854289071680376,0.07285546415981199,0.16686251468860164,0.13278495887191538,0.06110458284371328,0.0963572267920094,0.5170387779083431,0.23031727379553465,0.099882491186839,0.11045828437132785,0.12573443008225618,0.03055229142185664,0.13160987074030553,0.02937720329024677,0.01880141010575793,0.008225616921269096,0.04935370152761457
2021,0.27017543859649124,0.08538011695906433,0.22456140350877193,0.14385964912280702,0.1953216374269006,0.12280701754385964,0.047953216374269005,0.1216374269005848,0.519298245614035,0.23976608187134502,0.10058479532163743,0.10175438596491228,0.11461988304093568,0.0304093567251462,0.18011695906432748,0.02456140350877193,0.02456140350877193,0.004678362573099415,0.029239766081871343
2022,0.33663366336633666,0.054455445544554455,0.2953795379537954,0.16666666666666666,0.20297029702970298,0.10561056105610561,0.07590759075907591,0.1254125412541254,0.5412541254125413,0.29372937293729373,0.0858085808580858,0.13036303630363036,0.12376237623762376,0.019801980198019802,0.1848184818481848,0.0231023102310231,0.0462046204620462,0.01155115511551155,0.04455445544554455
2023,0.32172131147540983,0.045081967213114756,0.2807377049180328,0.26024590163934425,0.2540983606557377,0.09016393442622951,0.055327868852459015,0.15368852459016394,0.5942622950819673,0.3401639344262295,0.08196721311475409,0.10655737704918032,0.13319672131147542,0.02663934426229508,0.19467213114754098,0.018442622950819672,0.0389344262295082,0.012295081967213115,0.055327868852459015
2024,0.2421602787456446,0.04006968641114982,0.3118466898954704,0.26480836236933797,0.24390243902439024,0.050522648083623695,0.05400696864111498,0.0975609756097561,0.7003484320557491,0.3797909407665505,0.06620209059233449,0.1289198606271777,0.12717770034843207,0.020905923344947737,0.21428571428571427,0.03484320557491289,0.027874564459930314,0.008710801393728223,0.047038327526132406
2025,0.23853211009174313,0.047400611620795105,0.38685015290519875,0.2981651376146789,0.3103975535168196,0.053516819571865444,0.0856269113149847,0.0764525993883792,0.7431192660550459,0.5489296636085627,0.08256880733944955,0.16055045871559634,0.1345565749235474,0.019877675840978593,0.2889908256880734,0.01834862385321101,0.00764525993883792,0.019877675840978593,0.06422018348623854
